Site,Urban,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree
Mt St Joseph,NA,NA,4,3935.79101,5.2942,1.8,629.7098323,465.8578096,389.8651587,306.250743,0.395283333,0.344584286,0.432953834,154467,0,490,511,1716925.157,4806951.333,13234342.85,124825766.9,NA,NA,60.3678169,NA,125.0101886,109.7670865,121.545859,134.9001007,8113.48457,637.7,637.7,10005.0,0.6,1.0,0.05,0,0,0,0,0,0,0,5.0
Mullum,NA,NA,2,2148.925,0.578301949,0.5,288.3022822,345.8598191,286.1420522,233.153465,0.470358976,0.478491763,0.54171526,154467,90897,40416,16173,937013.4639,3582015.698,24075405.79,174153432.3,51.7073212,48.4491272,51.4131126,NA,105.699263,123.6386654,124.4588251,131.9678493,171.8809833,567.97,171.8809833,128.45,0.32,0.1,0.85,2,2,4,2,3,3,6,2.0
Newells,NA,NA,1,9801.61189,0.271219813,2.0,393.651363,491.5563198,491.708308,529.528762,0.241182692,0.300087374,0.42285427,154467,24422,4772,1008,3205170.368,14514656.44,135729612.2,569072354.4,NA,63.0,62.9896736,NA,84.69531758,76.78163158,87.16015711,92.42281294,35.19790401,250.81,35.19790401,3791.15,0.47,0.35,0.05,0,40,40,0,0,0,0,2.0
Nillumbik,NA,NA,2,4639.51353,0.36275327,1.7,258.7434572,241.3215243,228.1257113,220.850906,0.520311496,0.435490849,0.426162633,174742,129103,30244,7971,989051.7804,3173874.912,12161759.04,79648964.52,39.5185204,34.9852715,41.515976,26.8234215,103.1817723,117.6453636,137.6939331,142.0009325,35.83689668,159.3,35.83689668,403.61,0.03,0.92,0.01,1,0,1,0,0,0,0,25.0
Old Joes,NA,1,1,564.58774,1.7486,0.5,416.7953848,434.3131797,362.3713323,336.280405,0.38216143,0.396383514,0.523679167,36026,58619,26209,10762,741474.8128,3659575.895,18661775.39,183017849.8,61.0506363,61.4050636,59.9362068,26.1358032,112.183931,116.9131901,123.7443736,120.7508992,13365.64673,1048.08,1048.08,665.54,0.01,0.9,1.0,6,5,11,0,2,0,2,1.0
Pezzimenti,NA,1,2,1705.2026,0.803566168,1.1,253.8908673,277.4939361,237.5420232,225.474281,0.525222632,0.540094368,0.508453595,89844,94295,33278,6839,698428.2018,3166105.518,16917774.13,95969383.49,39.9350662,32.5249825,44.1686745,13.5847206,105.1838125,126.1824646,121.4391868,118.386694,4493.986148,133.24,133.24,332.13,0.23,0.1,0.4,11,6,17,0,0,5,5,10.0
Queens Park,NA,1,1,15090.98209,10.42970356,3.0,288.1412349,252.9538632,235.3295544,255.085935,0.335771176,0.293458353,0.331536678,1662,11182,6018,2520,2704700.879,9704200.192,29915659.18,380912962.1,62.9404755,62.8928566,62.9515076,62.6421318,89.02352881,99.72325576,108.3955074,104.7551652,979.1171229,1047.62,979.1171229,3228.55,0.01,0.0,0.4,1,3,4,2,0,4,4,8.0
Redleap,NA,1,4,15727.85054,0.125402541,3.0,264.347122,267.5452195,255.7999822,335.845723,0.374409749,0.354565183,0.375012756,154467,21103,6117,1820,4829083.767,6848185.721,87976053.44,238245344.1,61.658535,61.7742996,61.6635704,NA,93.88117579,96.9248162,95.83946799,104.972985,1727.121951,1432.92,1432.92,1417.77,0.28,0.97,0.95,3,8,11,0,1,1,2,2.0
Ringwood,NA,2,1,12770.11904,0.41560621,2.0,307.3636082,237.2726296,203.9747629,196.435424,0.396290012,0.377582396,0.352203039,154467,79503,18461,6083,958698.2584,26888132.48,45728352.38,126611778.6,NA,60.4160919,60.658783,NA,98.02011101,113.3869978,116.6085745,107.3157082,7736.296234,1230.4,1230.4,1609.4,0.14,0.8,0.95,2,0,2,14,4,0,4,2.5
Shankland,NA,1,4,6253.76891,2.0633,1.8,341.4488838,269.2005593,216.2868356,176.752861,0.381734234,0.360909434,0.411569002,4990,6669,2056,518,649020.381,3621458.241,16387288.41,118602667.2,NA,58.0747147,59.820591,59.9608841,76.4567675,83.85541148,102.0744604,117.3696465,3310.538726,217.06,217.06,189.44,0.44,0.55,0.1,2,0,2,0,0,0,0,13.0
Southern Road,NA,NA,1,3046.45888,5.9204,1.6,436.4007451,431.4528127,507.3364255,517.58316,0.398573149,0.351393576,0.306092215,84469,24374,5824,1657,8194609.686,70317826.8,269279001.3,463205604.9,NA,62.2757111,62.2566147,62.1820602,118.0992749,118.7817476,116.1058897,113.1383477,16892.04321,600.61,600.61,1457.19,0.46,0.0,0.0,0,0,0,0,0,0,0,0.0
Station Waters,NA,1,4,11204.83655,0.51209248,2.0,399.9564736,387.4510616,381.5537766,396.687314,0.36746239,0.34320964,0.359987586,381,2067,1865,984,593302.2887,3445145.025,39124329.83,148012839.5,62.7738152,62.7531128,62.7118988,62.4312286,100.9325131,103.79599,99.77333201,109.4878792,5241.429073,167.09,167.09,6224.53,0.16,0.93,0.1,4,1,5,0,0,0,0,0.5
Stockland,NA,1,4,8175.31647,0.737209155,1.5,287.1983618,276.3912556,261.0882041,214.722323,0.528369129,0.497202315,0.477694376,98184,17902,6272,1188,798592.7076,4385554.988,20071694.11,118808361.8,45.5121956,38.281662,47.438446,25.8834553,111.4509686,120.3045056,107.007953,117.8737765,626.4474036,1176.23,626.4474036,320.91,0.32,0.95,0.01,1,0,1,0,2,1,3,14.0
Tim Nev,NA,2,1,2676.76667,0.272255071,2.5,407.6010337,366.9289941,315.1189953,336.081247,0.429224945,0.426047797,0.470814437,12475,94530,19189,3951,3132731.862,5751890.08,17346514.28,218168882.2,61.551281,61.348896,60.6848183,NA,116.3705526,132.1063359,127.3204557,122.9876126,13705.7014,1912.88,1912.88,552.74,0.04,0.18,0.1,1,0,1,3,0,1,1,3.5
Truganina,NA,NA,4,21772.47276,1.862732186,3.0,593.9342532,358.3643306,286.5283504,252.379567,0.296853227,0.459779876,0.336947763,154467,5195,4376,737,851737.0518,3699122.3,12538273.64,120544692.5,61.8470573,62.3495941,60.4679604,31.0595245,82.13297233,117.5848591,121.1134999,131.6774391,8634.72233,447.34,447.34,10592.0,0.16,0.2,0.0,0,0,0,0,0,0,0,25.0
Valley Reserve,NA,1,1,5866.05903,1.152317098,1.0,323.5884745,273.24243,191.7453986,186.347969,0.372123583,0.422889647,0.463319021,218175,89517,34401,10517,731191.9246,4125895.575,48525647.59,328239582.0,63.0,62.6705208,62.7354317,62.8023148,99.32582192,108.3616546,121.7572664,113.2271288,11422.6187,37.14,37.14,340.83,0.71,1.0,0.05,3,1,4,1,1,1,2,21.0
Watervale,NA,1,4,1840.66648,0.3681,2.0,410.4940393,361.0279338,354.3412294,399.403944,0.318510898,0.262527499,0.284162729,12,133,101,90,637839.2781,2780122.832,14447016.51,241006982.1,62.5250015,62.4124985,NA,NA,77.02147332,76.7871864,84.37993068,104.053865,5094.639493,575.07,575.07,2789.18,0.38,0.05,0.4,1,2,3,0,0,0,0,1.5
Waterways Bowen,NA,1,1,82609.82724,3.900861655,1.5,423.1182918,496.9736355,377.2557127,306.618238,0.570225679,0.47577503,0.404752003,19000,9797,3025,257,791456.2183,3550386.523,17230374.68,277178070.4,60.8045959,61.3964577,61.3649292,60.9574547,83.51770013,98.19452264,107.85904909999999,113.9839331,21999.56675,320.19,320.19,846.46,0.05,0.75,0.05,1,4,5,0,0,0,0,10.0
Wattle Park,NA,1,1,163.55319,0.343963856,1.0,220.3522418,208.8131606,206.9347195,204.049558,0.410670578,0.443064164,0.516273337,154467,60958,26820,6482,2209397.149,5969037.351,26486092.1,176955864.7,62.2117691,62.2967796,62.2590446,NA,89.76305008,104.2981383,108.4359465,111.3391571,7103.477653,897.11,897.11,3899.57,0.8,0.98,1.0,0,2,2,0,2,2,4,10.0
Woodland,NA,NA,1,5818.52315,1.431279676,2.0,300.2468067,294.4962087,279.9469961,278.205683,0.374249467,0.346216195,0.385402679,3235,15475,9969,2719,1265311.967,5669690.352,38525230.47,270991135.7,62.9529381,62.9470596,62.9078445,62.720932,89.74668051,119.6289096,121.7829462,115.1593842,1516.570097,3255.0,1516.570097,546.24,0.05,0.15,0.3,3,1,4,0,0,0,0,30.0
Wurundjeri,NA,1,1,3627.42782,0.109144903,1.0,232.846909,223.4530605,242.3886387,225.699636,0.39258031,0.401554715,0.418304615,154467,30673,15921,3581,18426984.76,26741828.84,48673183.32,187022176.9,62.1500015,62.1948166,62.2955246,NA,107.1301697,111.42499,106.9976522,108.040677,8895.030282,585.98,585.98,1678.22,0.91,1.0,0.01,0,1,1,0,0,0,0,6.0
Yarrunga,NA,NA,1,2059.90581,0.489632073,3.0,257.3844224,252.6363544,248.3581712,247.537709,0.490068746,0.434475406,0.47275885,154467,11864,8412,3203,690167.4385,3032744.395,13343361.09,102048367.7,NA,42.1950302,40.1474953,NA,94.1092232,101.1766099,107.651167,112.3441859,4810.207371,387.28,387.28,131.71,0.11,0.15,0.95,3,0,3,0,1,3,4,0.5
1,moderate,NA,4,230900.0,NA,NA,416.2280208,346.9455487,328.8682001,316.973745,0.430206987,0.385749386,0.4260916,45154,8187,2357,1081,681712.6576,4812616.361,21389101.38,112645738.9,NA,39.9253082,37.6746025,34.4898834,70.02464761,81.76663975,100.600795,113.645593,1704.823255,557.75,557.75,1393.0,NA,NA,0.5,NA,NA,NA,NA,1,1,2,NA
2,open,NA,4,866.02595,NA,NA,430.5203753,351.0391482,316.7744206,340.782735,0.395494268,0.468427929,0.232086419,3439,2309,481,16,707916.7102,3072208.584,20488556.34,170018173.1,51.2345695,41.9238205,44.2973366,50.0304184,84.46953504,83.03081732,98.22742982,108.8714942,1156.491199,656.04,656.04,1043.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
2,open,NA,4,866.03,NA,NA,430.5203753,351.0391482,316.7744206,340.782735,0.395494268,0.468427929,0.232086419,3439,2309,481,16,707916.7102,3072208.584,20488556.34,170018173.1,51.2345695,41.9238205,44.2973366,50.0304184,84.46953504,83.03081732,98.22742982,108.8714942,1156.491199,656.04,656.04,1043.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
3,open,NA,4,8574.93605,NA,NA,421.4503437,325.7437195,294.5823864,286.737403,0.59818446,0.337797394,0.347826721,2701,578,711,424,826475.2257,5443401.092,21051756.46,97919839.41,47.841465,39.8375015,38.6269951,11.0924006,88.71352807,87.20239129,99.09845403,121.4074236,2258.181494,339.76,339.76,2389.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
3,open,NA,4,8574.94,NA,NA,421.4503437,325.7437195,294.5823864,286.737403,0.59818446,0.337797394,0.347826721,2701,578,711,424,826475.2257,5443401.092,21051756.46,97919839.41,47.841465,39.8375015,38.6269951,11.0924006,88.71352807,87.20239129,99.09845403,121.4074236,2258.181494,339.76,339.76,2389.0,NA,NA,0.0,NA,NA,NA,NA,0,0,0,NA
4,moderate,NA,4,233600.0,NA,NA,677.128941,508.6883188,395.1021409,368.206625,0.326276818,0.363597806,0.379906493,36573,7907,2236,376,904289.8548,4056191.076,15761471.42,141477276.2,62.764164,62.9767418,62.893589,61.6403999,113.5905794,113.2560888,130.8615245,138.9739044,7201.188461,405.51,405.51,8284.9,NA,NA,0.4,NA,NA,NA,NA,0,1,1,NA
6,moderate,NA,4,563500.0,NA,NA,799.7497744,3748.379809,5751.504861,6146.558854,0.214700925,0.293458118,0.33809915,4252,1904,526,153,735811.2252,3068619.963,15402198.1,124848385.1,63.0,63.0,63.0,62.8832283,376.2473873,229.0807913,209.8942249,143.8444031,8621.013193,1023.61,1023.61,10329.0,NA,NA,0.02,NA,NA,NA,NA,0,0,0,NA
8,open,2,4,16603.97835,NA,NA,411.3969953,366.8576934,354.1444176,352.051948,0.330582971,0.32584163,0.304724583,6411,1288,489,124,590800.8061,4897907.522,18109133.94,116801924.0,62.1309509,62.5845299,62.2988892,53.11726,92.97476771,89.13677161,94.18438269,113.0117903,8248.897609,496.21,496.21,4762.0,NA,NA,0.05,NA,NA,NA,NA,0,0,0,NA
