Site,Habitat,Season,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,NatEx,Bioregion,Size,SQQ,Water Depth,Imp 5km,Imp2km,Imp1km,Imp500m,NDVI2km,NDVI1km,NDVI500m,Trees 5km,Trees2km,Trees1km,Trees500m,House500,House1km,House2km,House5km,Light500m,Light1km,Light2km,Light5km,Road500m,Road1km,Road2km,Road5km,Distriver,Distwetland,Distwater,Distbushland,Aqvegcov,EphemVeg,TreeCoverage,TreesLarge>20dbh.plot,TreesSmall<20dbh.plot,Trees total.plot,Shrubs.plot,Hollows.total,Otherroostsnumber.total,TotalRoost,Distance1sttree,Temp,Humidity
Boardwalk,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,91,85,0,73,169,20,360,0,0,0,6,0,0,0,0,0,804,7,1,NA,4,9860.6233,0.373400415,3,402.1099257,436.7344472,365.0503437,391.025714,0.301266156,0.293295006,0.320308159,543,390,68,20,3829547.372,5711860.791,19365553.24,113968294.2,62.8235321,62.6777306,62.6010513,58.2276497,90.47282548,89.73396364,103.0156756,112.8465792,7336.440873,705.7,705.7,4099,0.33,1,0.5,1,0,1,5,0,0,0,45,22.19058163,71.19745918
Boardwalk,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,13,3,0,33,0,23,0,0,0,0,0,0,0,0,0,76,5,1,NA,4,9860.6233,0.373400415,3,402.1099257,436.7344472,365.0503437,391.025714,0.301266156,0.293295006,0.320308159,543,390,68,20,3829547.372,5711860.791,19365553.24,113968294.2,62.8235321,62.6777306,62.6010513,58.2276497,90.47282548,89.73396364,103.0156756,112.8465792,7336.440873,705.7,705.7,4099,0.33,1,0.5,1,0,1,5,0,0,0,45,15.26432075,75.01942265
Bonview,1,1,120,158,2,0,35,0,0,0,10,60,0,0,133,20,8,538,178,67,0,15,363,35,37,0,0,0,1,0,0,0,0,0,696,7,2,NA,1,18867.24119,1.778681065,4,261.0079076,302.1442478,297.1921164,264.613151,0.420009668,0.439232649,0.488092976,53065,103081,26816,4535,686359.6478,2736430.17,18644338.88,194881976.8,0,60.4567375,60.2286949,61.4300041,105.5483344,116.9605055,114.3816414,115.4266945,2594.020646,1823.52,1823.52,1172.35,0.04,0.6,0.65,3,0,3,5,1,2,3,2.5,18.40933962,83.67427358
Bonview,1,2,35,12,4,0,0,0,0,0,3,35,0,0,24,3,7,116,87,66,0,43,288,19,74,1,0,0,3,0,0,0,0,0,581,8,2,NA,1,18867.24119,1.778681065,4,261.0079076,302.1442478,297.1921164,264.613151,0.420009668,0.439232649,0.488092976,53065,103081,26816,4535,686359.6478,2736430.17,18644338.88,194881976.8,0,60.4567375,60.2286949,61.4300041,105.5483344,116.9605055,114.3816414,115.4266945,2594.020646,1823.52,1823.52,1172.35,0.04,0.6,0.65,3,0,3,5,1,2,3,2.5,25.62462264,57.5619434
Botanica,1,1,206,13,0,0,5,0,1,1,18,3,8,3,40,22,10,319,239,14,0,71,86,445,14,0,1,2,3,6,0,1,1,0,883,12,2,1,4,3267.23258,0.4702,1.5,259.9942333,263.9358964,276.9740328,226.679342,0.450986109,0.364007695,0.304032205,154467,3980,3806,677,838779.0826,3336584.064,23953711.34,312613762.1,NA,61.7009506,61.5270157,NA,81.99159112,101.1255459,104.8937251,106.1006188,590.6790206,653.66,590.6790206,1659.87,0.04,0.3,0.03,1,0,1,0,0,0,0,8,23.52166981,54.52919811
Botanica,1,2,55,24,2,0,1,2,0,2,5,3,102,1,19,14,11,228,1,31,0,13,74,5,35,0,2,0,2,0,0,0,0,0,163,8,2,1,4,3267.23258,0.4702,1.5,259.9942333,263.9358964,276.9740328,226.679342,0.450986109,0.364007695,0.304032205,154467,3980,3806,677,838779.0826,3336584.064,23953711.34,312613762.1,NA,61.7009506,61.5270157,NA,81.99159112,101.1255459,104.8937251,106.1006188,590.6790206,653.66,590.6790206,1659.87,0.04,0.3,0.03,1,0,1,0,0,0,0,8,17.43372642,69.28090566
Braeside,1,1,28,38,1,0,1,6,0,6,0,2,49,6,56,0,9,187,11,12,0,2,2,0,2,0,0,0,0,0,0,0,0,0,29,5,2,NA,1,4216.98498,0.1359,2,422.7910495,617.2039029,1919.281289,508.691343,0.417728517,0.53895427,0.633466777,9722,10547,3131,3797,1371277.583,4851948.649,19030339.59,366935176.5,61.2696648,61.7848816,61.7491798,62.0805817,123.0421347,119.7668232,114.8510375,112.2707082,21244.14191,422.15,422.15,576.39,0.24,0.6,0.25,0,6,6,15,0,0,0,6,17.37822449,82.64318367
Braeside,1,2,37,20,4,0,3,15,0,15,1,54,9,7,32,3,11,185,35,452,0,0,59,0,21,0,0,0,0,0,0,0,0,0,567,4,2,NA,1,4216.98498,0.1359,2,422.7910495,617.2039029,1919.281289,508.691343,0.417728517,0.53895427,0.633466777,9722,10547,3131,3797,1371277.583,4851948.649,19030339.59,366935176.5,61.2696648,61.7848816,61.7491798,62.0805817,123.0421347,119.7668232,114.8510375,112.2707082,21244.14191,422.15,422.15,576.39,0.24,0.6,0.25,0,6,6,15,0,0,0,6,13.32880612,79.50596939
Brighton,1,1,253,49,20,0,6,7,0,7,24,20,0,0,59,26,9,464,0,18,0,0,56,2,8,0,0,0,2,0,0,0,0,0,86,5,1,1,1,3404.2621,0.692235185,1.5,352.9501372,313.1790894,355.3386073,303.861578,0.364187762,0.406272807,0.543671875,80896,41287,14809,4319,1685922.705,6625051.211,36578318.74,210894655,61.8588219,61.7916336,61.9755363,61.2441902,115.9778668,127.2562837,114.9641203,112.6320181,10312.13124,96.31,96.31,2353.7,0,0,0.01,2,0,2,0,13,4,17,12,15.14527551,71.62809184
Brighton,1,2,112,27,34,0,0,17,4,21,11,10,0,0,72,16,9,303,39,2,0,14,14,118,2,0,0,1,0,0,0,0,0,0,190,7,1,1,1,3404.2621,0.692235185,1.5,352.9501372,313.1790894,355.3386073,303.861578,0.364187762,0.406272807,0.543671875,80896,41287,14809,4319,1685922.705,6625051.211,36578318.74,210894655,61.8588219,61.7916336,61.9755363,61.2441902,115.9778668,127.2562837,114.9641203,112.6320181,10312.13124,96.31,96.31,2353.7,0,0,0.01,2,0,2,0,13,4,17,12,21.67763462,75.01942265
