Site,Season,Urban,Chgouldii,Chmorio,CG/Mormlp,MormII,Mschocean,Nyctspp,Mmacropus,Nspp/Mmacr,Scotspp.,Taustralis,Vdarlingtoni,Vregulus,Vvulturnus,Unidentified,BatSpecies,BatActivity,Col,Dip,Eph,Hem,Lep,Hym,Tri,Manto,Psoc,Orth,Neur,Derm,Bla,Iso,Odo,Plec,Insectabundance,TotalOrder,Moon,Temp,Humidity
Illawong,1,NA,18,37,0,0,1,1,0,1,0,1,0,0,28,0,6,86,0,3,0,0,15,1,10,0,0,0,0,0,0,0,0,0,29,4,1,14.87313265,74.26113265
Illawong,2,NA,12,1,2,0,0,1,0,1,0,0,0,0,21,2,6,39,0,6,0,0,22,1,12,0,0,0,0,1,0,0,0,0,42,5,2,14.93775472,86.00573585
Jackropper,1,NA,137,1,1,0,0,0,0,0,3,1,0,0,2,8,7,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.13578302,75.24813208
Jackropper,2,NA,9,1,0,0,0,0,0,0,1,2,0,0,0,0,4,13,0,5,2,0,3,2,1,0,0,0,0,0,0,0,0,0,13,5,2,12.43623585,77.06366038
Kalparrin,1,NA,37,20,2,0,5,6,0,6,0,1,416,64,21,4,10,576,20,20,0,2,48,0,42,0,1,0,1,0,0,0,0,0,134,7,1,15.37907547,74.73274528
Kalparrin,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,17.68966997,75.01942265
Kinterbury,1,NA,22,0,0,0,0,2,0,2,4,1,0,0,0,1,5,30,190,294,0,72,78,22,116,0,0,0,0,2,0,0,0,0,774,7,2,20.9505566,60.35906604
Kinterbury,2,NA,35,0,1,0,0,0,0,0,6,1,0,0,0,3,5,46,6,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,20,4,1,16.14532075,83.61231132
Koonung,1,NA,233,2,18,1,0,1,0,1,18,6,0,0,5,20,9,304,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,18.77146226,82.97161321
Koonung,2,NA,129,2,2,0,0,1,0,1,0,1,0,0,8,1,7,144,10,3,0,0,20,3,13,0,1,0,0,0,0,0,0,0,50,6,2,20.50174528,68.19516038
Lakewood,1,NA,10,40,0,0,1,2,1,3,0,2,120,14,52,0,9,242,2,14,0,0,13,3,4,0,2,0,0,0,0,0,0,0,38,6,1,12.95454082,75.01942265
Lakewood,2,NA,0,14,4,0,18,1,0,1,0,0,0,0,36,1,6,74,16,28,0,3,222,2,45,0,2,0,0,1,0,0,0,0,319,8,2,16.67400943,75.01942265
Landcox,1,NA,0,0,7,0,0,1,0,1,9,4,0,0,208,24,6,253,0,2,0,0,16,0,7,0,0,0,0,0,0,0,0,0,25,3,2,15.18197959,72.425
Landcox,2,NA,182,74,2,0,8,3,0,3,16,6,0,3,143,13,10,450,13,6,12,3,28,29,4,0,2,0,0,0,0,0,0,0,97,8,1,22.371981130000002,75.01942265
Leamington,1,NA,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,24,37,0,6,21,17,50,0,0,0,0,0,0,0,0,0,155,6,1,16.13578302,75.24813208
Leamington,2,NA,3,0,0,0,0,0,0,0,1,5,0,0,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.87166981,75.01942265
Lilydale,1,NA,33,9,5,1,4,3,0,3,7,0,11,1,10,63,12,147,5,33,2,3,50,0,31,0,2,0,1,0,1,0,1,0,129,10,2,16.26545283,74.29465094
Lilydale,2,NA,33,32,0,14,7,4,2,6,36,3,22,5,42,77,13,277,14,10,23,2,28,2,4,0,0,1,0,0,0,0,0,0,84,8,1,16.3287549,75.01942265
Mill Park,1,NA,23,7,3,2,4,2,0,2,1,7,21,2,12,1,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.92839623,59.30427358
Mill Park,2,NA,95,38,7,0,15,2,1,3,0,234,59,3,43,5,11,502,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,2,2,15.81138679,75.01942265
Monteray,1,NA,270,13,3,0,1,6,0,6,13,0,13,6,52,18,10,395,12,14,0,3,128,0,0,2,16,0,0,0,0,0,0,0,175,6,2,15.98055556,74.71175926
Monteray,2,NA,91,12,1,1,0,0,0,0,9,1,2,6,13,10,10,146,5,5,0,0,41,0,3,0,2,0,1,0,0,0,0,0,57,6,2,20.21933019,75.01942265
Mt St Joseph,1,NA,56,3,0,0,0,0,0,0,0,0,0,0,3,3,4,65,61,54,0,6,96,25,0,0,0,0,0,0,0,0,0,0,242,5,2,23.5454434,53.69895283
Mt St Joseph,2,NA,0,0,1,0,0,1,0,1,0,1,0,0,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.66366038,82.07457547
Mullum,1,NA,161,12,1,2,1,5,0,5,43,4,15,2,15,44,12,305,101,89,0,10,366,64,55,0,0,0,0,0,0,15,0,0,700,7,2,18.07074528,84.1079717
Mullum,2,NA,150,11,11,2,1,5,0,5,15,23,8,4,97,29,12,356,106,203,0,104,133,42,94,0,0,0,0,0,2,0,0,0,684,7,2,24.04886792,57.5619434
Newells,1,NA,10,2,0,0,0,0,0,0,0,0,0,0,6,1,4,19,302,323,0,24,119,128,130,0,2,0,23,0,0,0,0,0,1051,8,2,23.0487037,74.08357407
Newells,2,NA,19,11,8,0,0,1,0,1,0,10,0,0,14,0,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.14532075,83.61231132
Nillumbik,1,NA,26,55,4,0,1,0,0,0,0,0,241,0,0,0,5,327,45,28,0,7,66,0,139,0,0,0,0,0,0,0,0,2,287,6,1,15.13558491,73.12940566
Nillumbik,2,NA,23,85,1,0,3,1,0,1,1,1,0,0,3,1,9,119,2,21,0,0,68,2,2,0,0,0,1,0,0,0,0,0,96,6,2,10.79133019,90.46303774
Old Joes,1,NA,43,130,0,0,0,37,11,48,11,0,2,1,179,81,9,495,193,22,0,44,162,2,0,0,0,2,0,2,0,4,0,0,431,8,2,17.5620102,75.01942265
Old Joes,2,NA,254,88,18,0,0,32,11,43,62,1,3,1,90,91,12,651,13,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,29,4,2,19.22575472,70.23818868
Pezzimenti,1,NA,116,42,1,0,0,2,1,3,12,0,40,0,47,7,9,268,37,20,0,1,46,9,40,0,1,1,0,0,0,0,0,0,155,8,2,16.72983962,74.25118868
Pezzimenti,2,NA,22,17,3,0,0,4,1,5,2,0,3,7,70,2,10,131,45,4,0,0,5,21,7,0,0,0,2,0,0,1,0,0,85,7,1,15.79433333,86.00336275
Queens Park,1,NA,48,1,1,0,0,1,0,1,6,1,0,0,1,13,8,72,38,142,0,11,194,9,314,0,0,0,3,0,0,0,0,0,711,7,2,22.33513208,59.00648113
Queens Park,2,NA,7,0,4,0,0,1,0,1,0,0,0,0,0,0,3,12,1,11,0,1,12,0,40,0,0,0,0,0,0,0,0,0,65,5,2,17.87166981,75.01942265
Redleap,1,NA,406,24,12,0,2,12,0,12,0,9,0,0,9,30,8,504,154,25,0,34,109,57,3,0,11,1,0,2,0,0,1,0,397,10,2,22.70863208,56.97742453
Redleap,2,NA,20,68,16,0,2,2,0,2,1,1,0,0,0,1,8,111,0,6,0,1,9,0,1,0,0,0,0,0,0,0,0,0,17,4,2,17.06696296,75.01942265
Ringwood,1,NA,115,1,3,1,0,0,0,0,2,1,0,0,1,2,8,126,7,3,0,2,26,4,1,0,1,0,0,0,0,0,0,0,44,7,2,13.09537755,78.83516327
Ringwood,2,NA,55,1,13,0,0,0,0,0,6,0,1,0,1,4,7,81,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,3,1,16.57081373,82.00577451
Shankland,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,114,0,40,192,13,107,0,13,0,4,4,0,1,0,13,718,11,2,19.75840566,71.75206604
Shankland,2,NA,18,2,2,0,0,0,0,0,0,5,0,0,2,0,5,29,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,4,1,15.63584906,84.90873585
Southern Road,1,NA,7,80,0,0,15,0,0,0,0,0,0,0,107,0,4,209,0,63,0,0,20,0,0,0,0,0,0,0,0,0,0,0,83,2,1,13.83604444,71.95354444
Southern Road,2,NA,22,0,1,0,0,0,0,0,0,4,0,0,12,0,4,39,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,2,12.6364434,84.8059717
Station Waters,1,NA,17,0,1,0,0,1,0,1,0,0,0,0,0,1,4,20,62,65,0,105,61,34,90,0,0,0,1,0,0,0,0,0,418,7,2,22.54961321,75.72516981
Station Waters,2,NA,71,0,1,0,0,0,0,0,0,0,0,1,5,0,4,78,4,0,0,1,4,9,0,0,0,0,0,1,0,0,0,0,19,5,2,21.69409434,75.01942265
Stockland,1,NA,188,9,7,0,0,0,0,0,9,4,34,3,17,4,9,275,169,10,0,33,67,122,0,0,0,2,0,2,0,0,1,0,406,8,2,21.92839623,59.30427358
Stockland,2,NA,77,8,5,1,0,0,0,0,3,127,43,0,15,3,9,282,5,69,0,0,32,258,8,0,0,0,0,0,0,0,0,0,372,5,2,15.25766038,75.01942265
Tim Nev,1,NA,2,1,0,0,0,0,0,0,1,2,0,0,1,5,6,12,106,27,0,30,62,6,41,0,0,2,0,3,0,1,0,0,278,9,2,17.73336735,82.42772449
Tim Nev,2,NA,13,3,0,1,1,2,1,3,0,3,2,0,3,2,10,31,6,3,0,0,12,1,2,0,0,0,0,0,0,0,0,0,24,5,1,17.17919608,75.01942265
Truganina,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,7,6,88,0,0,61,5,2,0,0,0,0,0,0,0,0,0,162,5,2,23.67628302,53.93113208
Truganina,2,NA,17,1,0,0,0,0,0,0,0,0,0,0,6,1,4,25,69,149,0,2,189,5,9,0,0,1,0,0,0,0,0,0,424,7,2,16.53666981,75.01942265
Valley Reserve,1,NA,166,2,4,0,0,4,0,4,9,1,0,0,9,10,8,205,4,3,0,1,6,1,2,0,0,0,0,0,0,0,0,0,17,6,1,12.23743878,76.37856122
Valley Reserve,2,NA,3,4,0,0,0,0,0,0,1,6,0,0,1,0,5,15,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,3,2,12.42629245,91.33596226
Watervale,1,NA,260,0,11,0,0,0,0,0,1,0,0,0,0,1,4,273,6,6,0,3,9,5,4,0,0,0,0,1,0,1,1,0,36,9,2,21.47832075,59.43272642
Watervale,2,NA,51,0,3,0,0,0,0,0,1,4,0,0,0,0,4,59,16,13,0,5,39,3,4,0,0,0,0,0,0,0,0,0,80,6,1,16.14532075,83.61231132
Waterways Bowen,1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,23,108,0,66,0,25,0,0,0,0,0,0,0,0,0,234,5,2,16.72460204,85.95959184
Waterways Bowen,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,1,2,3,0,0,0,0,0,0,0,0,0,0,25,5,2,13.74963208,79.50596939
Wattle Park,1,NA,444,4,0,1,0,2,0,2,103,6,0,0,10,118,9,688,291,422,0,116,290,72,78,0,1,2,0,0,0,1,0,0,1273,9,2,19.43864151,76.408792450000007
Wattle Park,2,NA,94,6,24,0,0,5,0,5,22,3,0,0,48,31,8,233,13,38,0,18,34,10,5,0,0,1,0,0,0,0,0,0,119,7,2,16.00137037,75.01942265
Woodland,1,NA,35,0,0,0,0,4,0,4,4,0,0,0,5,5,5,53,79,342,0,56,110,26,9,0,0,0,1,1,0,6,0,0,630,9,2,22.33513208,59.00648113
Woodland,2,NA,13,3,0,0,0,2,0,2,0,1,0,0,1,1,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.22793396,79.1164717
Wurundjeri,1,NA,20,0,1,0,0,0,0,0,3,1,0,0,1,1,6,27,8,32,0,4,62,8,3,0,1,0,2,0,0,0,0,0,120,8,2,19.04718868,80.89266981
Wurundjeri,2,NA,3,1,0,0,0,0,0,0,0,1,0,0,2,0,4,7,16,13,0,5,69,3,4,0,0,0,0,0,0,0,0,0,110,6,2,16.49376415,78.95842453
Yarrunga,1,NA,268,31,2,2,0,5,4,9,17,13,183,24,33,16,12,598,42,11,0,2,36,0,1,0,0,0,0,0,0,0,0,0,92,5,2,12.34410541,81.66465187
Yarrunga,2,NA,74,8,0,1,0,1,0,1,17,1,79,18,15,3,10,217,151,19,0,27,112,3,5,3,4,0,7,0,1,0,0,4,336,11,1,15.74329412,85.07315686
1,1,moderate,240,34,8,1,0,15,0,15,6,70,18,12,21,16,12,441,12,40,0,0,59,9,5,0,0,0,0,0,0,0,0,0,125,5,2,23.43881132,52.63608491
1,2,moderate,154,24,66,0,1,21,4,25,10,27,10,3,40,14,12,374,10,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,27,4,1,16.14532075,83.61231132
2,1,open,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,4,115,26,0,6,126,26,5,0,0,0,0,0,0,0,0,0,304,6,2,23.93521698,50.70835849
2,2,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,17.68966997,75.01942265
3,1,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,17.68966997,75.01942265
3,2,open,6,3,0,0,0,0,0,0,0,0,1,0,2,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.14532075,83.61231132
4,1,moderate,20,4,0,0,0,3,0,3,1,0,0,0,53,4,6,85,328,32,0,406,194,40,17,0,0,0,1,0,0,0,1,0,1019,8,2,22.31856122,69.40986735
4,2,moderate,65,18,4,0,0,10,3,13,0,0,0,0,37,2,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17.66366038,82.07457547
6,1,moderate,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,560,5,0,27,39,19,0,0,0,0,0,0,2,0,0,0,652,6,2,21.61471698,79.87675472
6,2,moderate,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,186,2,0,8,57,14,2,0,0,0,0,0,0,0,0,0,269,6,2,17.2344434,82.07457547
8,1,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,16.14532075,83.61231132
8,2,open,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,12,11,0,9,216,5,35,0,0,0,1,0,0,0,0,0,289,7,1,16.14532075,83.61231132
9,1,high,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29.66889796,34.44922449
9,2,high,21,9,11,0,0,0,0,0,2,1,0,0,3,2,7,49,7,1,0,1,22,0,1,0,0,0,0,0,0,0,0,0,32,5,2,17.24228302,75.01942265
10,1,moderate,17,3,0,0,0,1,0,1,0,0,0,12,20,1,6,54,32,11,0,120,49,24,4,0,1,0,2,0,0,0,0,0,243,8,2,22.6981619,75.01942265
10,2,moderate,16,10,1,0,1,1,0,1,0,5,0,0,8,0,7,42,13,9,0,7,51,9,2,0,1,0,0,0,0,0,0,0,92,7,2,17.81808491,75.01942265
11,1,open,2,1,1,0,1,0,0,0,0,3,0,0,1,0,6,9,324,112,0,106,477,20,328,0,0,0,0,4,0,1,0,0,1372,8,2,21.39229245,59.83688679
11,2,open,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,13,0,0,4,105,2,20,0,0,0,0,0,0,0,0,0,144,5,1,16.14532075,83.61231132
12,1,open,2,0,1,0,0,0,0,0,0,7,0,0,0,0,3,10,22,41,0,6,30,10,5,0,1,0,1,0,0,0,0,0,116,8,2,21.36361321,58.48045283
12,2,open,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.64303774,75.01942265
13,1,open,23,0,3,0,0,0,0,0,0,4,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21.36361321,58.48045283
13,2,open,9,0,0,0,0,1,0,1,0,3,0,0,0,1,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.14532075,83.61231132
14,1,open,22,0,0,0,0,0,0,0,0,1,0,0,0,0,2,23,0,2,0,1,16,1,1,0,0,0,0,0,0,0,0,0,21,5,1,16.14616038,83.05625472
14,2,open,104,1,16,0,0,0,0,0,0,4,0,0,0,1,5,126,4,16,0,5,53,1,1,0,2,0,1,0,0,0,0,0,83,8,1,16.14532075,83.61231132
16,1,open,23,10,0,0,0,5,0,5,0,5,0,1,210,1,7,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.27722449,75.01942265
16,2,open,0,41,0,0,20,0,0,0,0,0,0,0,49,0,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20.27722449,75.01942265
18,1,moderate,37,9,1,0,0,0,0,0,3,2,0,0,35,0,6,87,70,103,0,24,76,2,3,0,0,0,0,5,0,0,0,0,283,7,2,22.33513208,59.00648113
18,2,moderate,43,0,2,0,0,0,0,0,0,1,0,0,1,0,4,47,3,11,0,1,24,1,3,0,2,0,0,0,0,0,0,0,45,7,2,17.10363208,75.01942265
